unique_id,state
524,estado_1
525,estado_1
526,estado_1
527,estado_1
528,estado_1
529,estado_1
530,estado_1
531,estado_1
532,estado_1
533,estado_1
534,estado_1
535,estado_1
536,estado_1
537,estado_1
538,estado_1
539,estado_1
540,estado_1
541,estado_1
542,estado_1
543,estado_1
544,estado_1
545,estado_1
546,estado_1
547,estado_1
548,estado_1
549,estado_1
550,estado_1
551,estado_1
552,estado_1
553,estado_1
554,estado_1
555,estado_1
556,estado_1
557,estado_1
558,estado_1
559,estado_1
560,estado_1
561,estado_1
562,estado_1
563,estado_1
564,estado_1
565,estado_1
566,estado_1
567,estado_1
568,estado_1
569,estado_1
570,estado_1
571,estado_1
572,estado_1
573,estado_1
574,estado_1
575,estado_1
576,estado_1
577,estado_1
578,estado_1
579,estado_1
580,estado_1
581,estado_1
582,estado_1
583,estado_1
584,estado_1
585,estado_1
586,estado_1
587,estado_1
588,estado_1
589,estado_1
590,estado_1
591,estado_1
592,estado_1
593,estado_1
594,estado_1
595,estado_1
596,estado_1
597,estado_1
598,estado_1
599,estado_1
600,estado_1
601,estado_1
602,estado_1
603,estado_1
604,estado_1
605,estado_1
606,estado_1
607,estado_1
608,estado_1
609,estado_1
610,estado_1
611,estado_1
612,estado_1
613,estado_1
614,estado_1
615,estado_1
616,estado_1
617,estado_1
618,estado_1
619,estado_1
620,estado_1
621,estado_1
622,estado_1
623,estado_1
624,estado_1
625,estado_1
626,estado_1
627,estado_1
628,estado_1
629,estado_1
630,estado_1
631,estado_1
632,estado_1
633,estado_1
634,estado_1
635,estado_1
636,estado_1
637,estado_1
638,estado_1
639,estado_1
640,estado_1
641,estado_1
642,estado_1
643,estado_1
644,estado_1
645,estado_1
646,estado_1
647,estado_1
648,estado_1
649,estado_1
650,estado_1
651,estado_1
652,estado_1
653,estado_1
654,estado_1
655,estado_1
656,estado_1
657,estado_1
658,estado_1
659,estado_1
660,estado_1
661,estado_1
662,estado_1
663,estado_1
664,estado_1
665,estado_1
666,estado_1
667,estado_1
668,estado_1
669,estado_1
670,estado_1
671,estado_1
672,estado_1
673,estado_1
674,estado_1
675,estado_1
676,estado_1
677,estado_1
678,estado_1
679,estado_1
680,estado_1
681,estado_1
682,estado_1
683,estado_1
684,estado_1
685,estado_1
686,estado_1
687,estado_1
688,estado_1
689,estado_1
690,estado_1
691,estado_1
692,estado_1
693,estado_1
694,estado_1
695,estado_1
696,estado_1
697,estado_1
698,estado_1
699,estado_1
700,estado_1
701,estado_1
702,estado_1
703,estado_1
704,estado_1
705,estado_1
706,estado_1
707,estado_1
708,estado_1
709,estado_1
710,estado_1
711,estado_1
712,estado_1
713,estado_1
714,estado_1
715,estado_1
716,estado_1
717,estado_1
718,estado_1
719,estado_1
720,estado_1
721,estado_1
722,estado_1
723,estado_1
724,estado_1
725,estado_1
726,estado_1
727,estado_1
728,estado_1
729,estado_1
730,estado_1
731,estado_1
732,estado_1
733,estado_1
734,estado_1
735,estado_1
736,estado_1
737,estado_1
738,estado_1
739,estado_1
740,estado_1
741,estado_1
742,estado_1
743,estado_1
744,estado_1
745,estado_1
746,estado_1
747,estado_1
748,estado_1
749,estado_1
750,estado_1
751,estado_1
752,estado_1
753,estado_1
754,estado_1
755,estado_1
756,estado_1
757,estado_1
758,estado_1
759,estado_1
760,estado_1
761,estado_1
762,estado_1
763,estado_1
764,estado_1
765,estado_1
766,estado_1
767,estado_1
768,estado_1
769,estado_1
770,estado_1
771,estado_1
772,estado_1
773,estado_1
774,estado_1
775,estado_1
776,estado_1
777,estado_1
778,estado_1
779,estado_1
780,estado_1
781,estado_1
782,estado_1
783,estado_1
784,estado_1
785,estado_1
786,estado_1
787,estado_1
788,estado_1
789,estado_1
790,estado_1
791,estado_1
792,estado_1
793,estado_1
794,estado_1
795,estado_1
796,estado_1
797,estado_1
798,estado_1
799,estado_1
800,estado_1
801,estado_1
802,estado_1
803,estado_1
804,estado_1
805,estado_1
806,estado_1
807,estado_1
808,estado_1
809,estado_1
810,estado_1
811,estado_1
812,estado_1
813,estado_1
814,estado_1
815,estado_1
816,estado_1
817,estado_1
818,estado_1
819,estado_1
820,estado_1
821,estado_1
822,estado_1
823,estado_1
824,estado_1
825,estado_1
826,estado_1
827,estado_1
828,estado_1
829,estado_1
830,estado_1
831,estado_1
832,estado_1
833,estado_1
834,estado_1
835,estado_1
836,estado_1
837,estado_1
838,estado_1
839,estado_1
840,estado_1
841,estado_1
842,estado_1
843,estado_1
844,estado_1
845,estado_1
846,estado_1
847,estado_1
848,estado_1
849,estado_1
850,estado_1
851,estado_1
852,estado_1
853,estado_1
854,estado_1
855,estado_1
856,estado_1
857,estado_1
858,estado_1
859,estado_1
860,estado_1
861,estado_1
862,estado_1
863,estado_1
864,estado_1
865,estado_1
866,estado_1
867,estado_1
868,estado_1
869,estado_1
870,estado_1
871,estado_1
872,estado_1
873,estado_1
874,estado_1
875,estado_1
876,estado_1
877,estado_1
878,estado_1
879,estado_1
880,estado_1
881,estado_1
882,estado_1
883,estado_1
884,estado_1
885,estado_1
886,estado_1
887,estado_1
888,estado_1
889,estado_1
890,estado_1
891,estado_1
892,estado_1
893,estado_1
894,estado_1
895,estado_1
896,estado_1
897,estado_1
898,estado_1
899,estado_1
900,estado_1
901,estado_1
902,estado_1
903,estado_1
904,estado_1
905,estado_1
906,estado_1
907,estado_1
908,estado_1
909,estado_1
910,estado_1
911,estado_1
912,estado_1
913,estado_1
914,estado_1
915,estado_1
916,estado_1
917,estado_1
918,estado_1
919,estado_1
920,estado_1
921,estado_1
922,estado_1
923,estado_1
924,estado_1
925,estado_1
926,estado_1
927,estado_1
928,estado_1
929,estado_1
930,estado_1
931,estado_1
932,estado_1
933,estado_1
934,estado_1
935,estado_1
936,estado_1
937,estado_1
938,estado_1
939,estado_1
940,estado_1
941,estado_1
942,estado_1
943,estado_1
944,estado_1
945,estado_1
946,estado_1
947,estado_1
948,estado_1
949,estado_1
950,estado_1
951,estado_1
952,estado_1
953,estado_1
954,estado_1
955,estado_1
956,estado_1
957,estado_1
958,estado_1
959,estado_1
960,estado_1
961,estado_1
962,estado_1
963,estado_1
964,estado_1
965,estado_1
966,estado_1
967,estado_1
968,estado_1
969,estado_1
970,estado_1
971,estado_1
972,estado_1
973,estado_1
974,estado_1
975,estado_1
976,estado_1
977,estado_1
978,estado_1
979,estado_1
980,estado_1
981,estado_1
982,estado_1
983,estado_1
984,estado_1
985,estado_1
986,estado_1
987,estado_1
988,estado_1
989,estado_1
990,estado_1
991,estado_1
992,estado_1
993,estado_1
994,estado_1
995,estado_1
996,estado_1
997,estado_1
998,estado_1
999,estado_1
1000,estado_1
1001,estado_1
1002,estado_1
1003,estado_1
1004,estado_1
1005,estado_1
1006,estado_1
1007,estado_1
1008,estado_1
1009,estado_1
1010,estado_1
1011,estado_1
1012,estado_1
1013,estado_1
1014,estado_1
1015,estado_1
1016,estado_1
1017,estado_1
1018,estado_1
1019,estado_1
1020,estado_1
1021,estado_1
1022,estado_1
1023,estado_1
1024,estado_1
1025,estado_1
1026,estado_1
1027,estado_1
1028,estado_1
1029,estado_1
1030,estado_1
1031,estado_1
1032,estado_1
1033,estado_1
1034,estado_1
1035,estado_1
1036,estado_1
1037,estado_1
1038,estado_1
1039,estado_1
1040,estado_1
1041,estado_1
1042,estado_1
1043,estado_1
1044,estado_1
1045,estado_1
1046,estado_1
